"priority","platform","type","URL","free/paid/unknown","verification required","submitted yes/no","live URL","status","owner","date submitted","follow-up date","notes"
"1","Google Business Profile","core local profile","https://www.google.com/business/","free","yes","no","","not started","","","","Use existing verified Google Business Profile if already claimed; do not create duplicate."
"1","Bing Places","core local profile","https://www.bingplaces.com/","free","yes","no","","not started","","","","Use same NAP as Google Business Profile."
"1","Apple Business Connect","core local profile","https://businessconnect.apple.com/","free","yes","no","","not started","","","","Use service-area business settings if available."
"1","Yellow Pages Australia","business directory","https://www.yellowpages.com.au/","unknown","yes","no","","not started","","","","Check free vs paid options before purchase."
"1","True Local","business directory","https://www.truelocal.com.au/","free/paid","yes","no","","not started","","","","Avoid duplicate listings."
"1","LocalSearch","business directory","https://www.localsearch.com.au/","free/paid","yes","no","","not started","","","","Check if Sydney service-area business is accepted."
"1","Yelp Australia","business directory","https://www.yelp.com.au/","free/paid","yes","no","","not started","","","","Use verified business details only."
"1","Facebook","social profile","https://www.facebook.com/pages/create/","free","yes","no","","not started","","","","Create or update official business page only."
"1","Instagram","social profile","https://www.instagram.com/","free","yes","no","","not started","","","","Use real brand photos and van/job photos only."
"1","LinkedIn","company profile","https://www.linkedin.com/company/setup/new/","free","yes","no","","not started","","","","Create or update official company page only."
"1","YouTube","video/profile","https://www.youtube.com/","free","yes","no","","not started","","","","Use only real videos/photos if publishing."
"2","hipages","trade lead directory","https://hipages.com.au/","paid/unknown","yes","no","","not started","","","","Review cost and lead quality before purchase."
"2","Oneflare","trade lead directory","https://www.oneflare.com.au/","paid/unknown","yes","no","","not started","","","","Review lead terms before purchase."
"2","ServiceSeeking","trade lead directory","https://www.serviceseeking.com.au/","paid/unknown","yes","no","","not started","","","","Review if electrician category fits business scope."
"2","Hotfrog Australia","business directory","https://www.hotfrog.com.au/","free/paid","yes","no","","not started","","","","Use exact name and phone."
"2","StartLocal","business directory","https://www.startlocal.com.au/","free/paid","yes","no","","not started","","","","Check listing quality before submitting."
"2","AussieWeb","business directory","https://www.aussieweb.com.au/","free/paid","yes","no","","not started","","","","Confirm no duplicate listing exists."
"2","Cylex Australia","business directory","https://www.cylex-australia.com/","free/paid","yes","no","","not started","","","","Use service-area wording."
"2","BusinessListings.net.au","business directory","https://www.businesslistings.net.au/","free/paid","yes","no","","not started","","","","Check category and moderation quality."
"2","Australian Planet","business directory","https://www.australianplanet.com/","free/paid","yes","no","","not started","","","","Use same profile description."
"2","Word of Mouth","review/directory platform","https://www.wordofmouth.com.au/","free/paid","yes","no","","not started","","","","Do not add fake reviews."
"2","Yellow.Place","business directory","https://yellow.place/","free/paid","yes","no","","not started","","","","Check listing quality and duplicates."
"2","ARCtick public lookup or listing","credential reference","https://www.lookforthetick.com.au/","unknown","yes","no","","not started","","","","Only use if licence scope and listing rules allow."
"2","Open Cabler / communications cabling listing","credential/trade reference","manual search required","unknown","yes","no","","not started","","","","Check eligibility before adding."
"2","EV charger installer directories","supplier/manufacturer directory","manual search required","unknown","yes","no","","not started","","","","Submit only if Evaready is eligible and service scope is confirmed."
