"region","area","suburb","postcode","route","current classification: core/greater","expected response wording","actual response wording","current displayed minutes: 60/90","possible 60-minute candidate yes/no","reason","recommended classification","needs owner approval yes/no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Bankstown","2200","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bankstown/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Bankstown, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Bass Hill","2197","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bass-hill/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Bass Hill, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Belfield","2191","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belfield/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Belfield, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Belmore","2192","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belmore/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Belmore, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Belmore, with 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Beverly Hills","2209","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/beverly-hills/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | For Beverly Hills, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Beverly Hills, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Birrong","2143","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/birrong/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Birrong, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Campsie","2194","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/campsie/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Campsie, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Canterbury","2193","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/canterbury/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Canterbury, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Chester Hill","2162","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/chester-hill/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Chester Hill, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Clemton Park","2206","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/clemton-park/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Clemton Park, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
"Canterbury-Bankstown & Inner South West","Canterbury-Bankstown","Condell Park","2200","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/condell-park/","core","within 60 minutes / 60-minute response","60-minute response for urgent call-outs. | Urgent help for power loss, hot fittings and tripping circuits, business outages and damaged outdoor power in Condell Park, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.","60","no","Current response-time wording matches the current region classification.","Keep current core classification","no"
