route,page type,html exists,status expected 200,title,title length,meta description,meta description length,canonical present,h1 present,word count,phone CTA present,quote CTA present,Google Ads tag present,phone conversion attribute present,quote conversion attribute present,stale string warning,risky wording warning,broken asset reference warning,missing CSS/JS warning,notes
/,homepage,yes,yes,Emergency Electrician & Level 2 Electrician Sydney,50,"Call for emergency faults or request quotes for Level 2, switchboards and general electrical work across Sydney and surrounding regions.",136,yes,yes,2106,yes,yes,yes,yes,yes,,,,,
/services,services index,yes,yes,"Electrical Services Sydney | Emergency, Level 2 & Switchboards",62,"Licensed electrical services for emergency faults, Level 2, switchboards, homes, businesses and strata across Sydney and surrounding regions.",141,yes,yes,2845,yes,yes,yes,yes,yes,,,,,
/emergency-electrician-sydney,emergency page,yes,yes,Emergency Electrician Sydney | 60-Min Response,46,"Call Evaready for urgent electrical faults in Sydney and surrounding regions. 60-minute core response, 90-minute greater regions.",129,yes,yes,2479,yes,yes,yes,yes,yes,,,,,
/electrical-faults,fault index,yes,yes,Electrical Faults Sydney & Surrounding Regions,46,"Electrical fault help in Sydney for tripping safety switches and burning smells, no power, sparking power points, overheating power points and storm damage.",156,yes,yes,937,yes,yes,yes,yes,yes,,,,,
/level-2-electrician-sydney,level 2 page,yes,yes,Level 2 Electrician Sydney | Accredited ASP,43,"Level 2 ASP in Sydney and surrounding regions for consumer mains, defect notices, metering, point of attachment and supply work.",128,yes,yes,2547,yes,yes,yes,yes,yes,,,,,
/services/switchboard-upgrades-sydney,service page,yes,yes,Switchboard Upgrades Sydney | Safety Switches,45,"Switchboard upgrades in Sydney for safety switches, RCBOs, ceramic fuse replacement, burnt wiring checks and electrical capacity planning.",138,yes,yes,1705,yes,yes,yes,yes,yes,,,,,
/service-areas,service-area index,yes,yes,Electrician Service Areas Sydney | Emergency & Level 2,54,"Find your suburb for emergency electrician, Level 2 and planned electrical help across Sydney and surrounding regions. Call first or get a quote.",145,yes,yes,1895,yes,yes,yes,yes,yes,,,,,
/about,other,yes,yes,About Evaready Electrical | Sydney Electrician,46,"Learn about Evaready Electrical, a licensed Sydney electrician for emergency faults, Level 2 support and planned work across surrounding regions.",145,yes,yes,620,yes,yes,yes,yes,yes,,,,,
/contact,other,yes,yes,Contact Evaready Electrical | Sydney Electrician,48,Contact Evaready Electrical to call for urgent faults or get a quote for planned electrical work across Sydney and surrounding regions.,135,yes,yes,439,yes,yes,yes,yes,yes,,,,,
/privacy-policy,privacy policy,yes,yes,Privacy Policy | Evaready Electrical,36,"Privacy information for Evaready Electrical enquiries, quote requests and customer contact details.",99,yes,yes,851,yes,yes,yes,yes,yes,,,,,
/terms,terms,yes,yes,Terms | Evaready Electrical,27,"General website and service terms for Evaready Electrical enquiries, quotes and bookings.",89,yes,yes,877,yes,yes,yes,yes,yes,,,,,
/services/residential-electrician-sydney,service page,yes,yes,Residential Electrician Sydney | Home Electrical Help,53,"Need a residential electrician in Sydney? Evaready helps with power points, lighting, smoke alarms, switchboards, faults and renovations.",137,yes,yes,1399,yes,yes,yes,yes,yes,,,,,
/services/commercial-electrician-sydney,service page,yes,yes,"Commercial Electrician Sydney | Shops, Strata & Offices",55,"Commercial electrician in Sydney for shops, offices, strata, builders and property managers needing power, lighting, faults and maintenance.",140,yes,yes,1375,yes,yes,yes,yes,yes,,,,,
/services/electrical-fault-finding-sydney,service page,yes,yes,Electrical Fault Finding Sydney | Tripping & Power Faults,57,"Electrical fault finding in Sydney for tripping safety switches, no power and burning smells, damaged wiring and overheating power points and water damage.",155,yes,yes,1465,yes,yes,yes,yes,yes,,,,,
/services/lighting-electrician-sydney,service page,yes,yes,Lighting Electrician Sydney | LED & Outdoor Lighting,52,"Lighting electrician in Sydney for LED downlights, outdoor lights, security lighting, bathroom lighting, feature lights and repairs.",132,yes,yes,1344,yes,yes,yes,yes,yes,,,,,
/services/power-point-installation-sydney,service page,yes,yes,Power Point Installation Sydney | Outlets & Repairs,51,"Power point installation in Sydney for new outlets, double power points, outdoor outlets, appliance circuits and faulty outlet repairs.",135,yes,yes,1376,yes,yes,yes,yes,yes,,,,,
/services/smoke-alarm-electrician-sydney,service page,yes,yes,Smoke Alarm Electrician Sydney & Surrounding Regions,52,"Smoke alarm electrician in Sydney for installation, testing, replacement and hardwired smoke alarm support for homes, rentals and property managers.",148,yes,yes,1347,yes,yes,yes,yes,yes,,,,,
/services/ev-charger-installation-sydney,service page,yes,yes,EV Charger Installation Sydney | Home & Business Charging,57,"EV charger installation in Sydney for homes and businesses, with load checks, dedicated circuits, switchboard checks and upgrade advice.",136,yes,yes,1360,yes,yes,yes,yes,yes,,,,,
/services/consumer-mains-sydney,service page,yes,yes,Consumer Mains Electrician Sydney | Level 2 Supply Work,55,"Consumer mains electrician in Sydney for damaged, undersized or ageing mains, supply upgrades, defect notices and switchboard supply work.",138,yes,yes,1638,yes,yes,yes,yes,yes,,,,,
/services/defect-notice-repairs-sydney,service page,yes,yes,Electrical Defect Notice Repairs Sydney,39,"Electrical defect notice repairs in Sydney for consumer mains, point of attachment, switchboards, private poles and supply-side defects.",136,yes,yes,1594,yes,yes,yes,yes,yes,,,,,
/services/private-power-pole-sydney,service page,yes,yes,Private Power Pole Electrician Sydney,37,"Private power pole electrician in Sydney for damaged poles, overhead service issues, storm damage, defect notices and supply concerns.",134,yes,yes,1569,yes,yes,yes,yes,yes,,,,,
/services/hot-water-system-electrician-sydney,service page,yes,yes,Hot Water System Electrician Sydney | Electric Faults,53,"Hot water system electrician for electric faults, tripping circuits, isolators, heat pumps and replacement wiring. Call Now or get a quote.",139,yes,yes,1950,yes,yes,yes,yes,yes,,,,,
/services/split-system-air-conditioning-sydney,service page,yes,yes,Air Conditioning Electrician Sydney | AC Circuits,49,"Air conditioning electrician Sydney for split systems, AC isolators, dedicated circuits and switchboard capacity checks. Call now or get a quote.",145,yes,yes,2160,yes,yes,yes,yes,yes,,,,,
/services/cctv-security-camera-installation-sydney,service page,yes,yes,CCTV Electrician Sydney | Cameras & Security Cabling,52,"CCTV electrician in Sydney for security camera installation, camera wiring, recorder support, home CCTV and business CCTV cabling.",130,yes,yes,1398,yes,yes,yes,yes,yes,,,,,
/services/data-cabling-electrician-sydney,service page,yes,yes,Data Cabling Electrician Sydney | Internet Points,49,"Data cabling electrician in Sydney for network points, internet points, NBN internal cabling, phone line repairs and office data runs.",134,yes,yes,1388,yes,yes,yes,yes,yes,,,,,
/services/ceiling-fan-installation-sydney,service page,yes,yes,Ceiling Fan Installation Sydney & Surrounding Regions,53,"Ceiling fan installation in Sydney for bedrooms, living areas, outdoor fans, exhaust fans, bathroom fans and fan replacement wiring.",132,yes,yes,1351,yes,yes,yes,yes,yes,,,,,
/services/safety-switch-rcd-installation-sydney,service page,yes,yes,Safety Switch Electrician Sydney | RCD & RCBO Help,50,"Safety switch installation and RCD repairs in Sydney for circuit tripping, switchboard protection, RCBO upgrades and electrical safety checks.",142,yes,yes,1366,yes,yes,yes,yes,yes,,,,,
/services/three-phase-power-sydney,service page,yes,yes,3 Phase Power Electrician Sydney & Surrounding Regions,54,"3 phase power electrician in Sydney for 3 phase upgrades, equipment circuits, commercial power, EV charger load checks and switchboard support.",143,yes,yes,1384,yes,yes,yes,yes,yes,,,,,
/services/surge-protection-electrician-sydney,service page,yes,yes,Surge Protection Electrician Sydney | Switchboard SPDs,54,"Surge protection electrician in Sydney for switchboard surge protection devices, appliance protection, storm risk and sensitive equipment protection.",149,yes,yes,1350,yes,yes,yes,yes,yes,,,,,
/services/appliance-installation-electrician-sydney,service page,yes,yes,Appliance Installation Electrician Sydney,41,"Appliance installation electrician in Sydney for cooktops, ovens, rangehoods, dishwasher connections, isolators and dedicated circuits.",135,yes,yes,1342,yes,yes,yes,yes,yes,,,,,
/services/rewiring-electrician-sydney,service page,yes,yes,Rewiring Electrician Sydney & Surrounding Regions,49,"Rewiring electrician in Sydney for old home wiring, renovation wiring, damaged cables, unsafe wiring, new circuits and safety upgrades.",135,yes,yes,1344,yes,yes,yes,yes,yes,,,,,
/services/metering-services-sydney,service page,yes,yes,Metering Services Sydney & Surrounding Regions,46,"Metering services electrician in Sydney for meter support, service equipment checks, Level 2 electrical work, defect notices and supply-side enquiries.",151,yes,yes,1594,yes,yes,yes,yes,yes,,,,,
/services/new-build-renovation-electrician-sydney,service page,yes,yes,Renovation Electrician Sydney | New Builds & Fit-Offs,53,"Renovation electrician in Sydney for rough-ins, fit-offs, kitchen upgrades, bathroom wiring, lighting layouts and switchboard planning.",135,yes,yes,1404,yes,yes,yes,yes,yes,,,,,
/services/electrical-testing-tagging-reports-sydney,service page,yes,yes,Electrical Testing & Tagging Sydney | Safety Reports,52,"Electrical testing, tagging and reports in Sydney for safety checks, property managers, businesses, rentals, fault notes and electrical compliance support.",155,yes,yes,1395,yes,yes,yes,yes,yes,,,,,
/services/smart-home-electrician-sydney,service page,yes,yes,Smart Home Electrician Sydney & Surrounding Regions,51,"Smart home electrician in Sydney for smart switches, lighting control, automation wiring, future-ready cabling, data points and electrical upgrades.",148,yes,yes,1390,yes,yes,yes,yes,yes,,,,,
/services/tv-antenna-wall-cabling-sydney,service page,yes,yes,"TV, Antenna & Wall Cabling Sydney & Surrounding Regions",55,"TV, antenna and wall cabling electrician in Sydney for TV points, antenna outlets, wall-mount power, hidden cabling, media wiring and data combinations.",152,yes,yes,1397,yes,yes,yes,yes,yes,,,,,
/services/intercom-access-control-electrician-sydney,service page,yes,yes,Intercom & Access Control Electrician Sydney,44,"Intercom and access control electrician in Sydney for entry systems, intercom wiring, gate provisions, strata access and security wiring.",137,yes,yes,1387,yes,yes,yes,yes,yes,,,,,
/services/storm-damage-electrician-sydney,service page,yes,yes,Storm Damage Electrician Sydney | Water-Affected Faults,55,"Storm damage electrician in Sydney for water-affected wiring, damaged fixtures, unsafe circuits, outdoor faults and make-safe support.",134,yes,yes,1429,yes,yes,yes,yes,yes,,,,,
/services/electrical-load-capacity-checks-sydney,service page,yes,yes,Electrical Load Capacity Checks Sydney,38,"Electrical load and capacity checks in Sydney for EV chargers, 3 phase upgrades, workshops, commercial equipment and switchboards.",130,yes,yes,1639,yes,yes,yes,yes,yes,,,,,
/services/point-of-attachment-repairs-sydney,service page,yes,yes,Point of Attachment Repairs Sydney | Level 2 Help,49,"Point of attachment repairs in Sydney for damaged brackets, overhead supply issues, defect notices and supply-side electrical enquiries.",136,yes,yes,1654,yes,yes,yes,yes,yes,,,,,
/services/overhead-service-lines-sydney,service page,yes,yes,Overhead Service Lines Sydney | Level 2 Help,44,"Overhead service line support in Sydney for damaged supply lines, point of attachment issues, private poles and defect notices.",127,yes,yes,1639,yes,yes,yes,yes,yes,,,,,
/services/underground-service-mains-sydney,service page,yes,yes,Underground Service Mains Sydney | Level 2 Help,47,"Underground service mains support in Sydney for supply-side faults, consumer mains, defect notices and service upgrades.",120,yes,yes,1616,yes,yes,yes,yes,yes,,,,,
/services/disconnect-reconnect-electrician-sydney,service page,yes,yes,Disconnect Reconnect Electrician Sydney,39,"Disconnect and reconnect electrician in Sydney for supply-side planning, renovations, defect notices and service equipment work.",128,yes,yes,1639,yes,yes,yes,yes,yes,,,,,
/services/electrical-safety-inspection-sydney,service page,yes,yes,Electrical Safety Inspection Sydney,35,"Electrical safety inspection in Sydney for switchboards, safety switches, wiring, power points, lighting and visible fault risks.",129,yes,yes,1398,yes,yes,yes,yes,yes,,,,,
/services/testing-and-tagging-sydney,service page,yes,yes,Testing and Tagging Sydney | Electrical Safety,46,"Testing and tagging in Sydney for workplaces, managed properties, appliances, safety checks and clear electrical records.",121,yes,yes,1382,yes,yes,yes,yes,yes,,,,,
/services/phone-line-electrician-sydney,service page,yes,yes,Phone Line Electrician Sydney | Cabling Help,44,"Phone line electrician in Sydney for internal phone outlets, communications cabling, data points and cabling fault support.",123,yes,yes,1389,yes,yes,yes,yes,yes,,,,,
/services/intercom-installation-sydney,service page,yes,yes,Intercom Installation Sydney | Electrician,42,"Intercom installation electrician in Sydney for homes, strata, entry systems, gate cabling and access control support.",118,yes,yes,1376,yes,yes,yes,yes,yes,,,,,
/services/tv-points-antenna-electrician-sydney,service page,yes,yes,TV Points & Antenna Electrician Sydney,38,"TV points and antenna electrician in Sydney for TV outlets, wall cabling, media points, antenna cabling and tidy power support.",127,yes,yes,1388,yes,yes,yes,yes,yes,,,,,
/services/emergency-exit-lighting-sydney,service page,yes,yes,Emergency Exit Lighting Sydney | Electrician,44,"Emergency and exit lighting electrician in Sydney for commercial sites, testing support, replacements and safety lighting checks.",129,yes,yes,1396,yes,yes,yes,yes,yes,,,,,
/services/hot-power-point-electrician-sydney,service page,yes,yes,Hot Power Point Electrician Sydney,34,"Hot power point electrician in Sydney for warm outlets and burning smells, buzzing sockets, damaged wiring and urgent fault checks.",131,yes,yes,1429,yes,yes,yes,yes,yes,,,,,
/services/electric-shock-electrician-sydney,service page,yes,yes,Electric Shock Electrician Sydney,33,"Electric shock electrician in Sydney for shock risk, tingles from outlets, appliances, wet fixtures and urgent safety checks.",125,yes,yes,1406,yes,yes,yes,yes,yes,,,,,
/services/circuit-breaker-electrician-sydney,service page,yes,yes,Circuit Breaker Electrician Sydney,34,"Circuit breaker electrician in Sydney for tripping breakers, overloaded circuits, switchboard faults and circuit protection checks.",131,yes,yes,1400,yes,yes,yes,yes,yes,,,,,
/services/rcd-safety-switch-repairs-sydney,service page,yes,yes,RCD Safety Switch Repairs Sydney,32,"RCD safety switch repairs in Sydney for circuit tripping, faulty safety switches, RCBO upgrades and switchboard protection checks.",130,yes,yes,1412,yes,yes,yes,yes,yes,,,,,
/services/smart-meter-electrician-sydney,service page,yes,yes,Smart Meter Electrician Sydney | Metering Help,46,"Smart meter electrician in Sydney for meter area checks, switchboard preparation, service equipment and retailer coordination advice.",133,yes,yes,1414,yes,yes,yes,yes,yes,,,,,
/electrical-faults/safety-switch-keeps-tripping,fault guide,yes,yes,Safety Switch Keeps Tripping Sydney & Surrounding Regions,57,"Safety switch keeps tripping in Sydney? Evaready Electrical can help test the circuit, isolate the cause and explain the next step.",131,yes,yes,652,yes,yes,yes,yes,yes,,,,,
/electrical-faults/burning-smell-from-switchboard,fault guide,yes,yes,Burning Smell From Switchboard Sydney & Surrounding Regions,59,Burning smell near a switchboard in Sydney? Call Evaready Electrical for urgent electrical fault support before touching the board.,131,yes,yes,645,yes,yes,yes,yes,yes,,,,,
/electrical-faults/no-power-in-one-room,fault guide,yes,yes,No Power In One Room Sydney & Surrounding Regions,49,"No power in one room in Sydney? Evaready Electrical can trace tripped circuits, faulty outlets, damaged wiring and switchboard issues.",134,yes,yes,648,yes,yes,yes,yes,yes,,,,,
/electrical-faults/no-power-to-house,fault guide,yes,yes,No Power To House Sydney & Surrounding Regions,46,"No power to the house in Sydney? Evaready Electrical can help check switchboards, tripped safety devices, storm faults and supply-side concerns.",144,yes,yes,687,yes,yes,yes,yes,yes,,,,,
/electrical-faults/power-point-sparking,fault guide,yes,yes,Power Point Sparking Sydney & Surrounding Regions,49,"Power point sparking in Sydney? Stop using the outlet and call Evaready Electrical for safe testing, repair or replacement.",123,yes,yes,624,yes,yes,yes,yes,yes,,,,,
/electrical-faults/burning-smell-from-outlet,fault guide,yes,yes,Burning Smell From Outlet Sydney & Surrounding Regions,54,Burning smell from an outlet in Sydney? Stop using the power point and call Evaready Electrical for urgent testing and repair.,126,yes,yes,664,yes,yes,yes,yes,yes,,,,,
/electrical-faults/safety-switch-trips-at-night,fault guide,yes,yes,Safety Switch Trips At Night Sydney & Surrounding Regions,57,"Safety switch trips at night in Sydney? Evaready Electrical can trace appliance, hot water, outdoor and circuit faults that trip after hours.",141,yes,yes,648,yes,yes,yes,yes,yes,,,,,
