route,page type,html/static file exists yes/no,expected public URL,title,meta description,h1,visible word count,main content present yes/no,phone CTA present yes/no,quote CTA present yes/no,Google Ads tag present yes/no,phone conversion attribute present yes/no,quote conversion attribute present yes/no,CSS references valid yes/no,JS references valid yes/no,image references valid yes/no,favicon/icon references valid yes/no,response-time wording present yes/no,expected response-time classification,stale strings found,risky claims found,duplicate location wording found,chopped phrase fragments found,postcode-only wording found,hidden/visibility warning,notes
/,homepage,yes,https://c0d312.github.io/evaready-electrical,Emergency & Level 2 Electrician Sydney | 60-Min Response,"Emergency electrician in Sydney with 60-minute core response, 90-minute greater region response and accredited Level 2 ASP support.",Emergency & Level 2 Electrical Help in Sydney & Surrounding Regions,1741,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,mixed,,,,,,,
/electrical-faults,fault index,yes,https://c0d312.github.io/evaready-electrical/electrical-faults,Electrical Faults Sydney & Surrounding Regions,"Electrical fault help in Sydney for tripping safety switches and burning smells, no power, sparking power points, overheating power points and storm damage.",Electrical Faults Sydney & Surrounding Regions,913,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/electrical-faults/burning-smell-from-outlet,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/burning-smell-from-outlet,Burning Smell From Outlet Sydney & Surrounding Regions,Burning smell from an outlet in Sydney? Stop using the power point and call Evaready Electrical for urgent testing and repair.,Burning Smell From Outlet,640,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/electrical-faults/burning-smell-from-switchboard,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/burning-smell-from-switchboard,Burning Smell From Switchboard Sydney & Surrounding Regions,Burning smell near a switchboard in Sydney? Call Evaready Electrical for urgent electrical fault support before touching the board.,Burning Smell From Switchboard,621,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/electrical-faults/circuit-breaker-keeps-tripping,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/circuit-breaker-keeps-tripping,Circuit Breaker Keeps Tripping Sydney & Surrounding Regions,"Circuit breaker keeps tripping in Sydney? Evaready Electrical can check overloaded circuits, faulty appliances, wiring damage and switchboard issues.",Circuit Breaker Keeps Tripping,594,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/electrical-faults/electric-shock-from-outlet,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/electric-shock-from-outlet,Electric Shock From Outlet Sydney & Surrounding Regions,Electric shock from an outlet in Sydney? Stop using the power point and call Evaready Electrical for urgent electrical fault support.,Electric Shock From Outlet,630,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/electrical-faults/hot-power-point,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/hot-power-point,Hot Power Point Sydney & Surrounding Regions,"Hot power point in Sydney? Evaready Electrical can check loose connections, overloaded outlets, damaged wiring and circuit load issues.",Hot Power Point,596,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/electrical-faults/lights-flickering,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/lights-flickering,Lights Flickering Sydney & Surrounding Regions,"Lights flickering in Sydney? Evaready Electrical can check fixtures, circuits, switchboards, loose connections and load issues.",Lights Flickering,602,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/electrical-faults/no-power-in-one-room,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/no-power-in-one-room,No Power In One Room Sydney & Surrounding Regions,"No power in one room in Sydney? Evaready Electrical can trace tripped circuits, faulty outlets, damaged wiring and switchboard issues.",No Power In One Room,624,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
/electrical-faults/no-power-to-house,fault guide,yes,https://c0d312.github.io/evaready-electrical/electrical-faults/no-power-to-house,No Power To House Sydney & Surrounding Regions,"No power to the house in Sydney? Evaready Electrical can help check switchboards, tripped safety devices, storm faults and supply-side concerns.",No Power To House,663,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,mixed,,,,,,,
